date,entity,value,volume
2023-12-31,segment_a,0.109,4200
2023-12-31,segment_b,0.096,3100
2023-12-31,segment_c,0.122,2600
2024-01-01,segment_a,0.121,4200
2024-01-01,segment_b,0.108,3100
2024-01-01,segment_c,0.134,2600
2024-01-02,segment_a,0.119,4200
2024-01-02,segment_b,0.106,3100
2024-01-02,segment_c,0.132,2600
2024-01-03,segment_a,0.117,4200
2024-01-03,segment_b,0.104,3100
2024-01-03,segment_c,0.13,2600
2024-01-04,segment_a,0.115,4200
2024-01-04,segment_b,0.102,3100
2024-01-04,segment_c,0.128,2600
2024-01-05,segment_a,0.113,4200
2024-01-05,segment_b,0.1,3100
2024-01-05,segment_c,0.126,2600
2024-01-06,segment_a,0.111,4200
2024-01-06,segment_b,0.098,3100
2024-01-06,segment_c,0.124,2600
2024-01-07,segment_a,0.109,4200
2024-01-07,segment_b,0.096,3100
2024-01-07,segment_c,0.122,2600
2024-01-08,segment_a,0.121,4200
2024-01-08,segment_b,0.108,3100
2024-01-08,segment_c,0.134,2600
2024-01-09,segment_a,0.119,4200
2024-01-09,segment_b,0.106,3100
2024-01-09,segment_c,0.132,2600
2024-01-10,segment_a,0.117,4200
2024-01-10,segment_b,0.104,3100
2024-01-10,segment_c,0.13,2600
2024-01-11,segment_a,0.115,4200
2024-01-11,segment_b,0.102,3100
2024-01-11,segment_c,0.128,2600
2024-01-12,segment_a,0.113,4200
2024-01-12,segment_b,0.1,3100
2024-01-12,segment_c,0.126,2600
2024-01-13,segment_a,0.111,4200
2024-01-13,segment_b,0.098,3100
2024-01-13,segment_c,0.124,2600
2024-01-14,segment_a,0.109,4200
2024-01-14,segment_b,0.096,3100
2024-01-14,segment_c,0.122,2600
2024-01-15,segment_a,0.121,4200
2024-01-15,segment_b,0.108,3100
2024-01-15,segment_c,0.134,2600
2024-01-16,segment_a,0.119,4200
2024-01-16,segment_b,0.106,3100
2024-01-16,segment_c,0.132,2600
2024-01-17,segment_a,0.117,4200
2024-01-17,segment_b,0.104,3100
2024-01-17,segment_c,0.13,2600
2024-01-18,segment_a,0.115,4200
2024-01-18,segment_b,0.102,3100
2024-01-18,segment_c,0.128,2600
2024-01-19,segment_a,0.113,4200
2024-01-19,segment_b,0.1,3100
2024-01-19,segment_c,0.126,2600
2024-01-20,segment_a,0.111,4200
2024-01-20,segment_b,0.098,3100
2024-01-20,segment_c,0.124,2600
2024-01-21,segment_a,0.109,4200
2024-01-21,segment_b,0.096,3100
2024-01-21,segment_c,0.122,2600
2024-01-22,segment_a,0.121,4200
2024-01-22,segment_b,0.108,3100
2024-01-22,segment_c,0.134,2600
2024-01-23,segment_a,0.119,4200
2024-01-23,segment_b,0.106,3100
2024-01-23,segment_c,0.132,2600
2024-01-24,segment_a,0.117,4200
2024-01-24,segment_b,0.104,3100
2024-01-24,segment_c,0.13,2600
2024-01-25,segment_a,0.115,4200
2024-01-25,segment_b,0.102,3100
2024-01-25,segment_c,0.128,2600
2024-01-26,segment_a,0.113,4200
2024-01-26,segment_b,0.1,3100
2024-01-26,segment_c,0.126,2600
2024-01-27,segment_a,0.111,4200
2024-01-27,segment_b,0.098,3100
2024-01-27,segment_c,0.124,2600
2024-01-28,segment_a,0.109,4200
2024-01-28,segment_b,0.096,3100
2024-01-28,segment_c,0.122,2600
2024-01-29,segment_a,0.121,4200
2024-01-29,segment_b,0.108,3100
2024-01-29,segment_c,0.134,2600
